"","...1","Species","Functional_group","ProjectID","PlotNumber","SiteSurveyor","Year","YearsSinceStart","RelocationConfidence","Latitude","Longitude","Elevation","present","Cover","Elevation_sc","Time_sc","Time"
"25",25,"ANTERAC","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"26",26,"ANTEROS","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"27",27,"ANTEUMB","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"28",28,"ANTIOCC","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"29",29,"AQUIFOR","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"30",30,"ARCTUVA","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"31",31,"ARENCAP","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"32",32,"ARNICOR","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"33",33,"ARNILAT","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"34",34,"ARNIMOL","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"35",35,"ARNIPAR","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"36",36,"ARNIRYD","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"37",37,"ASARCAU","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"38",38,"ASTRALP","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"39",39,"ATHYFIL","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"40",40,"BISTVIV","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"41",41,"BOECLYA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"42",42,"BOECSTR","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"43",43,"CALTLEP","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"44",44,"CANAMOD","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"45",45,"CASSMER","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"46",46,"CASTMIN","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"47",47,"CASTPAR","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"48",48,"CASTRHE","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"49",49,"CEANVEL","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"50",50,"CHAMANG","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"51",51,"CHAMLAT","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"52",52,"CHIMMEN","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"53",53,"CHIMUMB","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"54",54,"CIRSEDU","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"55",55,"CLAYLAN","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"56",56,"CLAYPER","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"57",57,"CLINUNI","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"58",58,"CORATRI","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"59",59,"CORNCAN","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,3,-0.153089548726421,-0.795481960969324,"historical"
"60",60,"CORNSER","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"61",61,"CORYCOR","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"62",62,"CYSTFRA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"63",63,"DACTVIR","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"64",64,"DELPMEN","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"65",65,"DIPHCOM","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"66",66,"DRABAUR","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"67",67,"DRYAHOO","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"68",68,"DRYAOCT","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"69",69,"DRYMGLA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"70",70,"DRYMPSE","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"71",71,"EMPENIG","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"72",72,"EPILANA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"73",73,"EPILCIL","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"74",74,"EPILGLA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"75",75,"EPILLEP","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"76",76,"EQUIARV","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"77",77,"EQUIBRA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"78",78,"EQUIHYE","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"79",79,"EQUIPRA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"80",80,"EREMCAP","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"81",81,"ERIGAUR","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"82",82,"ERIGCOM","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"83",83,"ERIGGLA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"84",84,"ERIGPER","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"85",85,"ERIOHER","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"86",86,"ERIOOVA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"87",87,"ERIOUMB","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"88",88,"ERYTGRA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"89",89,"EUCEENG","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"90",90,"EURYCON","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"91",91,"FRAGVES","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"92",92,"FRAGVIR","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"93",93,"GALIAPA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"94",94,"GALITRF","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"95",95,"GAULOVA","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"96",96,"GENTAMA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"97",97,"GOODOBL","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"98",98,"GYMNDRY","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"99",99,"HERAMAX","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"100",100,"HETEVIL","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"101",101,"HEUCCYL","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"102",102,"HIERALB","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"103",103,"HIERALI","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"104",104,"HIERGRA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"105",105,"HIERSCO","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"106",106,"HIERTRI","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"107",107,"HIERUMB","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"108",108,"HOLODIS","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"109",109,"HYDRFEN","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"110",110,"HYPOMON","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"111",111,"JUNICOM","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"112",112,"LEPTPYR","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"113",113,"LEUCVUL","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"114",114,"LILICOL","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"115",115,"LINNBOR","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"116",116,"LOMADIS","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"117",117,"LOMAMAC","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"118",118,"LONICIL","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"119",119,"LONIINV","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"120",120,"LONIUTA","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"121",121,"LUETPEC","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"122",122,"LUPIARC","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"123",123,"LUPILEP","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"124",124,"LUPILYA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"125",125,"LUPINUS","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"126",126,"LYCOANN","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"127",127,"LYSILAT","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"128",128,"MAHOAQU","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"129",129,"MAHONER","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"130",130,"MAIARAC","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"131",131,"MAIASTE","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"132",132,"MENZFER","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,2,-0.153089548726421,-0.795481960969324,"historical"
"133",133,"MICROCC","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"134",134,"MICRODO","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"135",135,"MINURUB","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"136",136,"MOEHMAC","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"137",137,"MONEUNI","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"138",138,"NEOTBAN","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"139",139,"NEOTCOR","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"140",140,"NOTHNEM","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"141",141,"OPLOHOR","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"142",142,"ORTHSEC","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"143",143,"OSMOBER","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"144",144,"OSMOCHI","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"145",145,"OSMOPUR","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
"146",146,"OZOMTRI","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153089548726421,-0.795481960969324,"historical"
