"","Species","Functional_group","ProjectID","PlotNumber","SiteSurveyor","Year","YearsSinceStart","RelocationConfidence","Latitude","Longitude","Elevation","present","Cover","Elevation_sc","Time_sc"
"20","PSEUMEN","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"21","PYROASA","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"22","RHODALB","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"23","RIBEACE","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"24","RIBELAC","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"25","RUBUPAR","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"26","RUBUPED","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,5,-0.153072485849284,-0.795393299064723
"27","SORBSCO","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"28","SORBSIT","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"29","SPIRLUC","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"30","THALOCC","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"31","THUJPLI","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"32","TIARTRI","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,0.100000001,-0.153072485849284,-0.795393299064723
"33","TSUGHET","tree","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,20,-0.153072485849284,-0.795393299064723
"34","VACCMEM","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,1,1,-0.153072485849284,-0.795393299064723
"35","VACCSCO","shrub","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"36","VALESIT","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"37","VERAVIR","herb","NCBG_ESSFplots","00NCe73","jpstamp",2000,24,"Med-High",49.12286895,-120.8200364,1455,0,0,-0.153072485849284,-0.795393299064723
"38","ABIEAMA","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,3,0.209454419911413,-0.795393299064723
"39","ABIELAS","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,22,0.209454419911413,-0.795393299064723
"40","AMELALN","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"41","ARNILAT","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,0.100000001,0.209454419911413,-0.795393299064723
"42","CHAMANG","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,50,0.209454419911413,-0.795393299064723
"43","CHIMUMB","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"44","CLINUNI","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,1,0.209454419911413,-0.795393299064723
"45","CORNCAN","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"46","FRAGVIR","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,2,0.209454419911413,-0.795393299064723
"47","GOODOBL","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"48","HERAMAX","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"49","LINNBOR","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"50","LONIUTA","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,1,0.209454419911413,-0.795393299064723
"51","LUPIARC","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,5,0.209454419911413,-0.795393299064723
"52","ORTHSEC","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"53","PAXIMYR","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,8,0.209454419911413,-0.795393299064723
"54","PHLODIF","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"55","PICEENG","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"56","PINUCON","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,1,0.209454419911413,-0.795393299064723
"57","PSEUMEN","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"58","PYROASA","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"59","RHODALB","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,3,0.209454419911413,-0.795393299064723
"60","RIBEACE","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,1,0.209454419911413,-0.795393299064723
"61","RIBELAC","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,5,0.209454419911413,-0.795393299064723
"62","RUBUPAR","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,4,0.209454419911413,-0.795393299064723
"63","RUBUPED","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"64","SORBSCO","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"65","SORBSIT","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"66","SPIRLUC","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,8,0.209454419911413,-0.795393299064723
"67","THALOCC","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,1,0.209454419911413,-0.795393299064723
"68","THUJPLI","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"69","TIARTRI","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"70","TSUGHET","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"71","VACCMEM","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,18,0.209454419911413,-0.795393299064723
"72","VACCSCO","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,5,0.209454419911413,-0.795393299064723
"73","VALESIT","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,8,0.209454419911413,-0.795393299064723
"74","VERAVIR","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,0.209454419911413,-0.795393299064723
"75","ABIEAMA","tree","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"76","ABIELAS","tree","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,49,0.495081678995598,-0.795393299064723
"77","AMELALN","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"78","ARNILAT","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"79","CHAMANG","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,2,0.495081678995598,-0.795393299064723
"80","CHIMUMB","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"81","CLINUNI","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"82","CORNCAN","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"83","FRAGVIR","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"84","GOODOBL","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"85","HERAMAX","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"86","LINNBOR","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"87","LONIUTA","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"88","LUPIARC","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,25,0.495081678995598,-0.795393299064723
"89","ORTHSEC","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"90","PAXIMYR","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,4,0.495081678995598,-0.795393299064723
"91","PHLODIF","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"92","PICEENG","tree","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,0.100000001,0.495081678995598,-0.795393299064723
"93","PINUCON","tree","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"94","PSEUMEN","tree","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"95","PYROASA","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"96","RHODALB","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,18,0.495081678995598,-0.795393299064723
"97","RIBEACE","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,0.100000001,0.495081678995598,-0.795393299064723
"98","RIBELAC","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"99","RUBUPAR","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"100","RUBUPED","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,3,0.495081678995598,-0.795393299064723
"101","SORBSCO","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"102","SORBSIT","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,0.100000001,0.495081678995598,-0.795393299064723
"103","SPIRLUC","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"104","THALOCC","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"105","THUJPLI","tree","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"106","TIARTRI","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"107","TSUGHET","tree","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"108","VACCMEM","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,12,0.495081678995598,-0.795393299064723
"109","VACCSCO","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,12,0.495081678995598,-0.795393299064723
"110","VALESIT","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,6,0.495081678995598,-0.795393299064723
"111","VERAVIR","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,0.495081678995598,-0.795393299064723
"112","ABIEAMA","tree","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"113","ABIELAS","tree","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,19,-0.120115494416493,-0.795393299064723
"114","AMELALN","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,15,-0.120115494416493,-0.795393299064723
"115","ARNILAT","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"116","CHAMANG","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"117","CHIMUMB","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,2,-0.120115494416493,-0.795393299064723
"118","CLINUNI","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,4,-0.120115494416493,-0.795393299064723
"119","CORNCAN","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"120","FRAGVIR","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,5,-0.120115494416493,-0.795393299064723
"121","GOODOBL","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,0.100000001,-0.120115494416493,-0.795393299064723
"122","HERAMAX","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"123","LINNBOR","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"124","LONIUTA","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"125","LUPIARC","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,20,-0.120115494416493,-0.795393299064723
"126","ORTHSEC","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,0.100000001,-0.120115494416493,-0.795393299064723
"127","PAXIMYR","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,35,-0.120115494416493,-0.795393299064723
"128","PHLODIF","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"129","PICEENG","tree","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,3.099999905,-0.120115494416493,-0.795393299064723
"130","PINUCON","tree","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,21,-0.120115494416493,-0.795393299064723
"131","PSEUMEN","tree","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,5.100000001,-0.120115494416493,-0.795393299064723
"132","PYROASA","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"133","RHODALB","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"134","RIBEACE","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,5,-0.120115494416493,-0.795393299064723
"135","RIBELAC","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,1,-0.120115494416493,-0.795393299064723
"136","RUBUPAR","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"137","RUBUPED","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"138","SORBSCO","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"139","SORBSIT","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"140","SPIRLUC","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,15,-0.120115494416493,-0.795393299064723
"141","THALOCC","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"142","THUJPLI","tree","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"143","TIARTRI","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"144","TSUGHET","tree","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"145","VACCMEM","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,30,-0.120115494416493,-0.795393299064723
"146","VACCSCO","shrub","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,1,10,-0.120115494416493,-0.795393299064723
"147","VALESIT","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"148","VERAVIR","herb","NCBG_ESSFplots","00NCe77","jpstamp",2000,24,"High",49.06956013,-120.905716,1470,0,0,-0.120115494416493,-0.795393299064723
"149","ABIEAMA","tree","NCBG_ESSFplots","00NCe78","jpstamp",2000,24,"Med-High",49.08614425,-120.9258513,1840,0,0,0.692823627592341,-0.795393299064723
"150","ABIELAS","tree","NCBG_ESSFplots","00NCe78","jpstamp",2000,24,"Med-High",49.08614425,-120.9258513,1840,1,37,0.692823627592341,-0.795393299064723
"151","AMELALN","shrub","NCBG_ESSFplots","00NCe78","jpstamp",2000,24,"Med-High",49.08614425,-120.9258513,1840,0,0,0.692823627592341,-0.795393299064723
"152","ARNILAT","herb","NCBG_ESSFplots","00NCe78","jpstamp",2000,24,"Med-High",49.08614425,-120.9258513,1840,1,2,0.692823627592341,-0.795393299064723
"153","CHAMANG","herb","NCBG_ESSFplots","00NCe78","jpstamp",2000,24,"Med-High",49.08614425,-120.9258513,1840,0,0,0.692823627592341,-0.795393299064723
"154","CHIMUMB","shrub","NCBG_ESSFplots","00NCe78","jpstamp",2000,24,"Med-High",49.08614425,-120.9258513,1840,0,0,0.692823627592341,-0.795393299064723
"155","CLINUNI","herb","NCBG_ESSFplots","00NCe78","jpstamp",2000,24,"Med-High",49.08614425,-120.9258513,1840,0,0,0.692823627592341,-0.795393299064723
"156","CORNCAN","herb","NCBG_ESSFplots","00NCe78","jpstamp",2000,24,"Med-High",49.08614425,-120.9258513,1840,0,0,0.692823627592341,-0.795393299064723
"157","FRAGVIR","herb","NCBG_ESSFplots","00NCe78","jpstamp",2000,24,"Med-High",49.08614425,-120.9258513,1840,1,1,0.692823627592341,-0.795393299064723
"158","GOODOBL","herb","NCBG_ESSFplots","00NCe78","jpstamp",2000,24,"Med-High",49.08614425,-120.9258513,1840,0,0,0.692823627592341,-0.795393299064723
"159","HERAMAX","herb","NCBG_ESSFplots","00NCe78","jpstamp",2000,24,"Med-High",49.08614425,-120.9258513,1840,1,3,0.692823627592341,-0.795393299064723
"160","LINNBOR","shrub","NCBG_ESSFplots","00NCe78","jpstamp",2000,24,"Med-High",49.08614425,-120.9258513,1840,0,0,0.692823627592341,-0.795393299064723
"161","LONIUTA","shrub","NCBG_ESSFplots","00NCe78","jpstamp",2000,24,"Med-High",49.08614425,-120.9258513,1840,1,2,0.692823627592341,-0.795393299064723
"162","LUPIARC","herb","NCBG_ESSFplots","00NCe78","jpstamp",2000,24,"Med-High",49.08614425,-120.9258513,1840,1,2,0.692823627592341,-0.795393299064723
