"PlotNumber","ProjectID","Latitude","Longitude","Date","Elevation","Year"
"14-4317","BC Parks Manning TEM",49.04946899,-120.76470947,2019-10-31,1536,"2019"
"14-4318","BC Parks Manning TEM",49.10192108,-120.7574768,2019-08-19,1956,"2019"
"14-4319","BC Parks Manning TEM",49.10179138,-120.75527954,2019-08-19,1890,"2019"
"14-4320","BC Parks Manning TEM",49.07690048,-120.77107238,2019-10-31,1815,"2019"
"14-4323","BC Parks Manning TEM",49.16270065,-120.76499938,2019-11-29,1994,"2019"
"14-4324","BC Parks Manning TEM",49.16270065,-120.7649002,2019-08-29,1988,"2019"
"14-4325","BC Parks Manning TEM",49.15930175,-120.77050018,2019-08-29,1981,"2019"
"14-4326","BC Parks Manning TEM",49.1603012,-120.7731018,2019-08-29,2030,"2019"
"14-4347","BC Parks Manning TEM",49.01174163,-120.82393646,2019-08-28,2132,"2019"
"14-4348","BC Parks Manning TEM",49.02001953,-120.80536651,2019-08-28,1807,"2019"
"14-4352","BC Parks Manning TEM",49.01039886,-120.83400726,2019-08-27,2336,"2019"
"14-4353","BC Parks Manning TEM",49.01192855,-120.8272705,2019-08-27,2221,"2019"
"14-4354","BC Parks Manning TEM",49.01340103,-120.81890106,2019-08-28,2000,"2019"
"14-4361","BC Parks Manning TEM",49.15879821,-120.7743988,2019-08-28,2093,"2019"
"14-4382","BC Parks Manning TEM",49.1646614,-120.77905273,2019-11-28,2197,"2019"
"14-4383","BC Parks Manning TEM",49.15822982,-120.77498626,2019-08-29,2106,"2019"
"14-4384","BC Parks Manning TEM",49.15280151,-120.77178955,2019-08-29,2062,"2019"
"14-4385","BC Parks Manning TEM",49.16463088,-120.77757263,2019-08-29,2217,"2019"
"14-4386","BC Parks Manning TEM",49.10020828,-120.7596817,2019-08-30,2009,"2019"
"14-4387","BC Parks Manning TEM",49.09149169,-120.77339935,2019-08-30,1955,"2019"
"14-4388","BC Parks Manning TEM",49.06903839,-120.76203155,2019-11-26,1624,"2019"
"14-4502","BC Parks Manning TEM",49.0223999,-120.82900238,2019-08-28,2070,"2019"
"14-4503","BC Parks Manning TEM",49.02896881,-120.83232879,2019-08-28,1950,"2019"
"14-4504","BC Parks Manning TEM",49.04870986,-120.82266235,2019-08-26,1725,"2019"
"14-4572","BC Parks Manning TEM",49.0553894,-120.72232818,2019-08-16,1144,"2019"
"14-4573","BC Parks Manning TEM`",49.07849884,-120.93202972,2019-08-27,1590,"2019"
"14-4575","BC Parks Manning TEM",49.01443862,-120.83383941,2019-08-28,2172,"2019"
"14-4576","BC Parks Manning TEM",49.01496124,-120.83231353,2019-08-28,2177,"2019"
"14-4577","BC Parks Manning TEM",49.14511871,-120.76136016,2019-08-29,2052,"2019"
"14-4584","BC Parks Manning TEM",49.06008148,-120.71710968,2019-08-16,1127,"2019"
"14-4585","BC Parks Manning TEM",49.07535934,-120.76850128,2019-08-26,1752,"2019"
"14-4587","BC Parks Manning TEM",49.0782814,-120.91792297,2019-08-27,1679,"2019"
"14-4588","BC Parks Manning TEM",49.0820198,-120.92365264,2019-08-27,1792,"2019"
"19JCG13","BC Parks Manning TEM",49.11692047,-120.6429367,2019-08-30,1080,"2019"
"19JCG14","BC Parks Manning TEM",49.11307907,-120.64520263,2018-08-30,1055,"2018"
"19JCG15","BC Parks Manning TEM",49.11320114,-120.64414978,2019-08-30,1046,"2019"
"19JCG16","BC Parks Manning TEM",49.11222076,-120.65350341,2019-08-30,1094,"2019"
"19JCG18","BC Parks Manning TEM",49.11236953,-120.65190887,2019-08-30,1088,"2019"
"19JCV17","BC Parks Manning TEM",49.1126213,-120.65438842,2019-08-30,1166,"2019"
"9621336","RCOBEC15",49.0841320974704,-120.692890301707,2015-06-22,1142,"2015"
"9621340","RCOBEC15",49.0564956282905,-120.735155003146,2015-06-22,1151,"2015"
"9621341","RCOBEC15",49.1293679896386,-120.627304089749,2015-06-22,1064,"2015"
"9621342","RCOBEC15",49.1288600849288,-120.622297130849,2015-06-22,1062,"2015"
"9621354","RCOBEC15",49.0840037114454,-120.691869010983,2015-06-22,1136,"2015"
"essf85","NCBG_ESSFplots",49.0368680288175,-120.964559221006,2000-10-04,1705,"2000"
"MP 291","BEC-Vancouver",49.03950881,-120.87200164,1976-09-29,1308,"1976"
"MP 292","BEC-Vancouver",49.03998947,-120.88110351,1976-09-29,1277,"1976"
"MP 293","BEC-Vancouver",49.04455947,-120.85169982,1976-09-29,1259,"1976"
"MP 294","BEC-Vancouver",49.11808013,-120.86609649,1976-09-30,1402,"1976"
"MP 295","BEC-Vancouver",49.11931991,-120.87550354,1976-09-30,1353,"1976"
"MP 296","BEC-Vancouver",49.12162017,-120.87310028,1976-09-30,1381,"1976"
"MP 297","BEC-Vancouver",49.11734008,-120.87239837,1976-09-30,1372,"1976"
"MP 299","BEC-Vancouver",49.04080963,-120.87870025,1976-10-01,1311,"1976"
"MP 281","BEC-Vancouver",49.10832977,-120.75830078,1976-09-27,1921,"1976"
"MP 285","BEC-Vancouver",49.07500076,-120.77500152,1976-09-28,1481,"1976"
"MP 286","BEC-Vancouver",49.07500076,-120.77500152,1976-09-18,1326,"1976"
"MP 287","BEC-Vancouver",49.11643981,-120.87020111,1976-09-28,1250,"1976"
"MP 288","BEC-Vancouver",49.11574935,-120.86699676,1976-09-28,1259,"1976"
"MP 289","BEC-Vancouver",49.04022979,-120.89379882,1976-09-29,1466,"1976"
"MP 290","BEC-Vancouver",49.03955841,-120.88819885,1976-09-19,1353,"1976"
"SK93710","Skagit Rhodo. Comm.",49.2147589434701,-121.066062705323,1993-08-10,695,"1993"
"SK93711","Skagit Rhodo. Comm.",49.2144177198915,-121.067174591221,1993-08-10,686,"1993"
"SK93721","Skagit Rhodo. Comm.",49.2163286173368,-121.06847331881,1993-08-16,698,"1993"
"SK93722","Skagit Rhodo. Comm.",49.2173936589752,-121.067607825552,1993-08-16,698,"1993"
"SK93734","Skagit Rhodo. Comm.",49.1980363763364,-120.992860450015,1993-08-23,869,"1993"
"SK93735","Skagit Rhodo. Comm.",49.1974826776558,-120.99205921361,1993-08-23,869,"1993"
"SK93736","Skagit Rhodo. Comm.",49.2019202493209,-120.988584586158,1993-08-23,823,"1993"
"VV0046","BEC-Vancouver",49.07500076,-120.79170227,1979-06-25,750,"1979"
"VV0047","BEC-Vancouver",49.07500076,-120.79170227,1979-06-25,980,"1979"
"VV0044","BEC-Vancouver",49.07500076,-120.79170227,1979-06-25,640,"1979"
"VV0045","BEC-Vancouver",49.07500076,-120.79170227,1979-06-25,710,"1979"
