"","...1","PlotNumber","ProjectID","Date","SiteSurveyor","PlotRepresenting","Location","Ecosection","Longitude","Latitude","LocationAccuracy","Elevation","SlopeGradient","Aspect","MesoSlopePosition","SurfaceShape","SiteNotes","SoilNotes","VegSurveyor","StrataCoverTree","StrataCoverShrub","StrataCoverHerb","StrataCoverMoss","VegNotes","SpeciesListComplete","Species","Latin_name","Functional_group","Cover A1","Cover A2","Cover A3","TotalA","Cover B1","Cover B2","TotalB","Cover C","Cover D","Cover E","Cover F"
"11",25,"00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested mesic mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8200364,49.12286895,100,1455,56,353,"MD","ST","--EcoPoly: 12278	
--FC: no typing available
--%canclosure: 50, 85, 90, 40= 66; this is a better estimate of the overall coverage of A layer and B1 layer coverage at the site)
--very closed canopy forest
--S-M sized old herbaceous scat in plot",NA,"jpstamp",55,98,10,60,NA,FALSE,"PLAGIOMNIUM SP.","Plagiomnium spp.","moss",NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
"12",26,"00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested mesic mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8200364,49.12286895,100,1455,56,353,"MD","ST","--EcoPoly: 12278	
--FC: no typing available
--%canclosure: 50, 85, 90, 40= 66; this is a better estimate of the overall coverage of A layer and B1 layer coverage at the site)
--very closed canopy forest
--S-M sized old herbaceous scat in plot",NA,"jpstamp",55,98,10,60,NA,FALSE,"VACCMEM","Vaccinium membranaceum","shrub",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"13",27,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"HIERACIUM SP.","Hieracium spp.","herb",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"14",28,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"OSMOBER","Osmorhiza berteroi","herb",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"15",29,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"ABIEAMA","Abies amabilis","tree",NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA
"16",30,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"SPIRLUC","Spiraea lucida","shrub",NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA
"17",31,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"ANAPMAR","Anaphalis margaritacea","herb",NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA
"18",32,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"LUPIARC","Lupinus arcticus","herb",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"19",33,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"FRAGVIR","Fragaria virginiana","herb",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"20",34,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"SALIX SP.","Salix spp.","shrub",NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA
"21",35,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"THALOCC","Thalictrum occidentale","herb",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"22",36,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"ALNUALN","Alnus alnobetula","tree",NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
"23",37,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"RUBUPAR","Rubus parviflorus","shrub",NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA
"24",38,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"VALESIT","Valeriana sitchensis","herb",NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
"25",39,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"RIBELAC","Ribes lacustre","shrub",NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA
"26",40,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"ASTER SP.","Aster spp.","herb",NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA
"27",41,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"ARNILAT","Arnica latifolia","herb",NA,NA,NA,NA,NA,NA,NA,0.100000001,NA,NA,NA
"28",42,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"CLINUNI","Clintonia uniflora","herb",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"29",43,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"ABIELAS","Abies lasiocarpa","tree",NA,NA,5,5,12,5,17,NA,NA,NA,NA
"30",44,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"POPUTRE","Populus tremuloides","tree",NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA
"31",45,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"PAXIMYR","Paxistima myrsinites","shrub",NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA
"32",46,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"VACCSCO","Vaccinium scoparium","shrub",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"33",47,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"PINUCON","Pinus contorta","tree",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"34",48,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"CHAMANG","Chamerion angustifolium","herb",NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA
"35",49,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"RHODALB","Rhododendron albiflorum","shrub",NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA
"36",50,"00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp","ESSFmw forested dry mid-seral post-harvest","Cambie Creek (Fat Dog Creek) in Manning Provincial Park","HOR",-120.8160951,49.12958668,100,1620,45,149,"UP","ST","--EcoPoly: 11806
--FC: no typing available
--%canclosure: 0,0,5,10= 4
--fair amount of case-hardened CWD suggesting F.l.bb
--site has not restocked too well given that it is generally of the same vintage as the setting across the valley (essf73); it appears as if berries are best around the base of individual clumps of conifers (mainly lasiocarpa)","#NAME?","jpstamp",15,55,90,5,"--very sparse mosses
--some really big trees were harvested from this site
--looks like quite a lot of dried-up white berries at this site (too much heat an sun causing failure; too dry?)",FALSE,"EQUISETUM SP.","Equisetum spp.","herb",NA,NA,NA,NA,NA,NA,NA,0.100000001,NA,NA,NA
