"","PlotNumber","Date2025","ProjectID","DateOriginal","SiteSurveyor","Latitude","Longitude","Elevation","RelocationConfidence","Species","Functional_group","Cover"
"63","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","STRELAN","herb",0.2
"64","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","MAIARAC","herb",0.225
"65","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","PYROASA","herb",0.025
"66","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","CLINUNI","herb",5.5
"67","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","CORNCAN","herb",3.5
"68","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","LUPIARC","herb",3.2
"69","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","LINNBOR","shrub",3.25
"70","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","ARNILAT","herb",0.025
"71","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","ARNICOR","herb",1.3
"72","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","FRAGVIR","herb",0.15
"73","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","CHIMUMB","shrub",0.125
"74","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","EURYCON","herb",2.65
"75","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","VALESIT","herb",0.8
"76","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","ORTHSEC","herb",0.2
"77","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","RUBUPED","herb",0.5
"78","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","TIARTRI","herb",0.15
"79","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","NEOTBAN","herb",0.025
"80","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","GOODOBL","herb",0.25
"81","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","LILICOL","herb",0.05
"82","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","OSMOCHI","herb",0.25
"83","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","EQUIBRA","herb",0.05
"84","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","THALOCC","herb",0.2
"85","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","CHAMANG","herb",0.025
"86","35179",2025-06-10,"BEC-Vancouver",1979-08-14,NA,49.08049897,-120.813113,1246.216553,"High","AQUIFOR","herb",0.025
"87","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","ABIELAS","tree",22.5
"88","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","ABIEAMA","tree",13.5
"89","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","PICEENG","tree",19
"90","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","TSUGHET","tree",10
"91","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","ALNUCRI","shrub",10
"92","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","PAXIMYR","shrub",31.3
"93","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","LONIUTA","shrub",4.25
"94","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","VACCMEM","shrub",3.5
"95","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","VACCSCO","shrub",0.025
"96","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","RIBELAC","shrub",1.625
"97","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","VIBUEDU","shrub",1.025
"98","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","SORBSCO","shrub",0.05
"99","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","RUBUPAR","shrub",3.5
"100","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","AMELALN","shrub",0.5
"101","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","SPIRLUC","shrub",0.275
"102","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","ACERGLA","shrub",1
"103","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","LONIINV","shrub",0.3
"104","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","CORNSER","shrub",0.025
"105","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","CORNCAN","herb",9.75
"106","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","MAIARAC","herb",1.5
"107","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","STRELAN","herb",3
"108","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","CLINUNI","herb",5.5
"109","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","RUBUPED","herb",1.35
"110","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","THALOCC","herb",0.25
"111","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","OSMOCHI","herb",0.425
"112","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","ARNICOR","herb",1
"113","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","GALITRF","herb",0.1
"114","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","GYMNDRY","herb",0.575
"115","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","GOODOBL","herb",0.175
"116","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","VIOLORB","herb",0.325
"117","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","TIARTRI","herb",0.2
"118","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","ATHYFIL","herb",0.1
"119","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","ANEMGRA","herb",0.025
"120","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","LILICOL","herb",0.225
"121","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","ORTHSEC","herb",0.2
"122","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","LINNBOR","shrub",0.3
"123","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","CHIMUMB","shrub",0.075
"124","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","PYROASA","herb",0.125
"125","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","VALESIT","herb",0.033333333
"126","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","VIOLGLA","herb",0.15
"127","35379",2025-06-12,"BEC-Vancouver",1979-08-14,NA,49.08029596,-120.81214,1251.628296,"Low","STREAMP","herb",0.1
"128","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","PINUALB","tree",8
"129","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","ABIELAS","tree",1.375
"130","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","JUNICOM","shrub",14.25
"131","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","ARCTUVA","shrub",11.5
"132","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","VACCSCO","shrub",2.25
"133","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","ANTEROS","herb",3.75
"134","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","DRYAOCT","shrub",1.875
"135","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","POTEGLU","herb",2.5
"136","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","SOLIMUL","herb",4
"137","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","ACHIMIL","herb",1.75
"138","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","POLEPUL","herb",0.375
"139","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","EREMCAP","herb",4.25
"140","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","AGOSAUR","herb",0.1
"141","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","PENSDAV","shrub",0.075
"142","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","SEDULAN","herb",0.325
"143","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","PENSPRO","herb",0.575
"144","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","ERIOUMB","herb",0.625
"145","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","PHLODIF","herb",2
"146","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","SAXIAUS","herb",0.4
"147","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","ARNIMOL","herb",0.375
"148","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","ERIGAUR","herb",0.375
"149","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","GENTAMA","herb",0.05
"150","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","SILEPAR","herb",0.25
"151","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","LUPILYA","herb",0.225
"152","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","MINURUB","herb",0.15
"153","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","ERIGCOM","herb",0.125
"154","114791",2025-08-13,"Alpine2007_BEC",2007-07-15,"whm",49.16384803,-120.772275,2194.082031,"High","LUPIARC","herb",0.025
"155","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","PINUALB","tree",0.75
"156","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","VACCSCO","shrub",43.75
"157","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","PHYLEMP","shrub",0.5
"158","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","CASSMER","shrub",3
"159","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","PHYLGLA","shrub",0.125
"160","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","ANTELAN","herb",9
"161","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","VEROCUS","herb",4.25
"162","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","EREMCAP","herb",2.75
"163","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","PHLODIF","herb",1.4
"164","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","SIBBPRO","shrub",0.2
"165","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","LUPIARC","herb",2.65
"166","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","SILEPAR","herb",0.225
"167","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","LUETPEC","shrub",3
"168","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","CASTPAR","herb",0.15
"169","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","HIERTRI","herb",0.2
"170","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","PENSPRO","herb",0.475
"171","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","CHAMANG","herb",0.025
"172","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","SEDULAN","herb",0.025
"173","114792",2025-08-12,"Alpine2007_BEC",2007-07-14,"whm",49.16590503,-120.77879,2228.038574,"High","ERIGAUR","herb",0.05
"174","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","PICEENG","tree",3.25
"175","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","PINUALB","tree",1.875
"176","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","DRYAOCT","shrub",45.75
"177","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","EMPENIG","shrub",6.75
"178","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","SALINIV","shrub",3.5
"179","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","PHYLEMP","shrub",0.075
"180","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","JUNICOM","shrub",0.15
"181","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","ARCTUVA","shrub",0.25
"182","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","LUPILYA","herb",6.25
"183","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","SEDULAN","herb",0.475
"184","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","MINURUB","herb",0.825
"185","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","SAXIAUS","herb",0.725
"186","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","POTEGLU","herb",0.95
"187","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","SOLIMUL","herb",0.675
"188","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","BISTVIV","herb",0.2
"189","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","ANTEALP","herb",1.625
"190","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","ERIGAUR","herb",0.05
"191","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","MICROCC","herb",0.1
"192","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","POTEUNIF",NA,0.25
"193","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","SILEACA","herb",0.025
"194","114793",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.167207,-120.780076,2193.841553,"High","LUPIARC","herb",0.025
"195","114794",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.16847803,-120.7815,2138.398682,"High","PICEENG","tree",1.85
"196","114794",2025-08-12,"Alpine2007_BEC",2007-07-15,"whm",49.16847803,-120.7815,2138.398682,"High","ABIELAS","tree",2
