"","PlotNumber","ProjectID","Latitude","Longitude","Elevation","Year","SiteSurveyor","Species","Cover","present","Functional_group"
"102","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","SORBSIT",0.100000001,1,"shrub"
"103","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","SPIRLUC",0,0,"shrub"
"104","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","THALOCC",0,0,"herb"
"105","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","THUJPLI",0,0,"tree"
"106","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","TIARTRI",0,0,"herb"
"107","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","TSUGHET",0,0,"tree"
"108","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","VACCMEM",12,1,"shrub"
"109","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","VACCSCO",12,1,"shrub"
"110","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","VALESIT",6,1,"herb"
"111","00NCe75","NCBG_ESSFplots",49.13184343,-120.8212604,1750,2000,"jpstamp","VERAVIR",0,0,"herb"
"112","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","ABIEAMA",0,0,"tree"
"113","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","ABIELAS",19,1,"tree"
"114","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","AMELALN",15,1,"shrub"
"115","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","ARNILAT",0,0,"herb"
"116","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","CHAMANG",0,0,"herb"
"117","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","CHIMUMB",2,1,"shrub"
"118","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","CLINUNI",4,1,"herb"
"119","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","CORNCAN",0,0,"herb"
"120","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","FRAGVIR",5,1,"herb"
"121","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","GOODOBL",0.100000001,1,"herb"
"122","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","HERAMAX",0,0,"herb"
"123","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","LINNBOR",0,0,"shrub"
"124","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","LONIUTA",0,0,"shrub"
"125","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","LUPIARC",20,1,"herb"
"126","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","ORTHSEC",0.100000001,1,"herb"
"127","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","PAXIMYR",35,1,"shrub"
"128","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","PHLODIF",0,0,"herb"
"129","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","PICEENG",3.099999905,1,"tree"
"130","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","PINUCON",21,1,"tree"
"131","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","PSEUMEN",5.100000001,1,"tree"
"132","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","PYROASA",0,0,"herb"
"133","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","RHODALB",0,0,"shrub"
"134","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","RIBEACE",5,1,"shrub"
"135","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","RIBELAC",1,1,"shrub"
"136","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","RUBUPAR",0,0,"shrub"
"137","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","RUBUPED",0,0,"herb"
"138","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","SORBSCO",0,0,"shrub"
"139","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","SORBSIT",0,0,"shrub"
"140","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","SPIRLUC",15,1,"shrub"
"141","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","THALOCC",0,0,"herb"
"142","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","THUJPLI",0,0,"tree"
"143","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","TIARTRI",0,0,"herb"
"144","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","TSUGHET",0,0,"tree"
"145","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","VACCMEM",30,1,"shrub"
"146","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","VACCSCO",10,1,"shrub"
"147","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","VALESIT",0,0,"herb"
"148","00NCe77","NCBG_ESSFplots",49.06956013,-120.905716,1470,2000,"jpstamp","VERAVIR",0,0,"herb"
"149","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","ABIEAMA",0,0,"tree"
"150","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","ABIELAS",37,1,"tree"
"151","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","AMELALN",0,0,"shrub"
"152","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","ARNILAT",2,1,"herb"
"153","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","CHAMANG",0,0,"herb"
"154","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","CHIMUMB",0,0,"shrub"
"155","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","CLINUNI",0,0,"herb"
"156","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","CORNCAN",0,0,"herb"
"157","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","FRAGVIR",1,1,"herb"
"158","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","GOODOBL",0,0,"herb"
"159","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","HERAMAX",3,1,"herb"
"160","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","LINNBOR",0,0,"shrub"
"161","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","LONIUTA",2,1,"shrub"
"162","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","LUPIARC",2,1,"herb"
"163","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","ORTHSEC",5,1,"herb"
"164","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","PAXIMYR",1,1,"shrub"
"165","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","PHLODIF",0,0,"herb"
"166","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","PICEENG",0.100000001,1,"tree"
"167","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","PINUCON",0,0,"tree"
"168","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","PSEUMEN",0,0,"tree"
"169","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","PYROASA",0,0,"herb"
"170","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","RHODALB",0,0,"shrub"
"171","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","RIBEACE",20,1,"shrub"
"172","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","RIBELAC",0,0,"shrub"
"173","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","RUBUPAR",0,0,"shrub"
"174","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","RUBUPED",0,0,"herb"
"175","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","SORBSCO",0,0,"shrub"
"176","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","SORBSIT",0,0,"shrub"
"177","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","SPIRLUC",0,0,"shrub"
"178","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","THALOCC",0.100000001,1,"herb"
"179","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","THUJPLI",0,0,"tree"
"180","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","TIARTRI",0,0,"herb"
"181","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","TSUGHET",0,0,"tree"
"182","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","VACCMEM",0,0,"shrub"
"183","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","VACCSCO",0,0,"shrub"
"184","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","VALESIT",5,1,"herb"
"185","00NCe78","NCBG_ESSFplots",49.08614425,-120.9258513,1840,2000,"jpstamp","VERAVIR",0.100000001,1,"herb"
"186","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","ABIEAMA",0,0,"tree"
"187","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","ABIELAS",41,1,"tree"
"188","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","AMELALN",0,0,"shrub"
"189","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","ARNILAT",0,0,"herb"
"190","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","CHAMANG",0,0,"herb"
"191","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","CHIMUMB",0,0,"shrub"
"192","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","CLINUNI",0,0,"herb"
"193","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","CORNCAN",0,0,"herb"
"194","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","FRAGVIR",3,1,"herb"
"195","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","GOODOBL",0,0,"herb"
"196","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","HERAMAX",0,0,"herb"
"197","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","LINNBOR",0,0,"shrub"
"198","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","LONIUTA",0,0,"shrub"
"199","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","LUPIARC",0,0,"herb"
"200","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","ORTHSEC",7,1,"herb"
"201","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","PAXIMYR",0,0,"shrub"
"202","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","PHLODIF",0,0,"herb"
"203","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","PICEENG",0.100000001,1,"tree"
"204","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","PINUCON",0,0,"tree"
"205","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","PSEUMEN",2,1,"tree"
"206","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","PYROASA",0,0,"herb"
"207","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","RHODALB",0,0,"shrub"
"208","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","RIBEACE",8,1,"shrub"
"209","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","RIBELAC",0,0,"shrub"
"210","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","RUBUPAR",0,0,"shrub"
"211","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","RUBUPED",0,0,"herb"
"212","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","SORBSCO",0,0,"shrub"
"213","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","SORBSIT",0,0,"shrub"
"214","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","SPIRLUC",0,0,"shrub"
"215","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","THALOCC",0,0,"herb"
"216","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","THUJPLI",0,0,"tree"
"217","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","TIARTRI",5,1,"herb"
"218","00NCe79","NCBG_ESSFplots",49.08811762,-120.9446303,1790,2000,"jpstamp","TSUGHET",0,0,"tree"
