"","PlotNumber","ProjectID","Elevation","Year","SiteSurveyor","RelocationConfidence","Species","2019Plot","ErrorPlot","Cover","present"
"71","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","VALESIT",NA,NA,0,0
"72","00NCe74","NCBG_ESSFplots",1661.301636,2025,"jpstamp","Med-High","VERAVIR",NA,NA,0,0
"73","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","ABIEAMA",NA,NA,0,0
"74","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","ABIELAS","N","N",52.75,1
"75","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","AMELALN",NA,NA,0,0
"76","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","ARNILAT","N","N",2.5,1
"77","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","CHAMANG","N","N",0.35,1
"78","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","CHIMUMB",NA,NA,0,0
"79","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","CLINUNI",NA,NA,0,0
"80","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","CORNCAN",NA,NA,0,0
"81","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","GOODOBL","N","N",0.075,1
"82","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","HERAMAX",NA,NA,0,0
"83","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","LINNBOR",NA,NA,0,0
"84","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","LONIUTA","N","N",0.1,1
"85","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","LUPIARC","N","N",1.25,1
"86","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","ORTHSEC","N","N",0.925,1
"87","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","PAXIMYR","N","N",0.2,1
"88","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","PHLODIF",NA,NA,0,0
"89","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","PICEENE","N","N",2.025,1
"90","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","PINUCON",NA,NA,0,0
"91","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","PSEUMEN",NA,NA,0,0
"92","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","PYROASA",NA,NA,0,0
"93","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","RHODALB","N","N",26,1
"94","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","RIBEACE","N","N",0.1,1
"95","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","RIBELAC","N","N",1,1
"96","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","RUBUPAR",NA,NA,0,0
"97","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","RUBUPED","N","N",0.375,1
"98","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","SORBSCO","N","N",1.55,1
"99","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","SORBSIT","N","N",0.075,1
"100","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","SPIRLUC",NA,NA,0,0
"101","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","THALOCC",NA,NA,0,0
"102","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","THUJPLI",NA,NA,0,0
"103","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","TIARTRI",NA,NA,0,0
"104","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","TSUGHET",NA,NA,0,0
"105","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","VACCMEM","N","N",9.25,1
"106","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","VACCSCO","N","N",1.725,1
"107","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","VALESIT","N","N",4.25,1
"108","00NCe75","NCBG_ESSFplots",1786.920776,2025,"jpstamp","Med-High","VERAVIR",NA,NA,0,0
"109","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","ABIEAMA","N","N",0.125,1
"110","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","ABIELAS","N","N",32.75,1
"111","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","AMELALN","N","N",1.775,1
"112","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","ARNILAT","N","N",1,1
"113","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","CHAMANG",NA,NA,0,0
"114","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","CHIMUMB","N","N",0.175,1
"115","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","CLINUNI","N","N",4.25,1
"116","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","CORNCAN",NA,NA,0,0
"117","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","GOODOBL","N","N",0.525,1
"118","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","HERAMAX",NA,NA,0,0
"119","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","LINNBOR",NA,NA,0,0
"120","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","LONIUTA","N","N",0.775,1
"121","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","LUPIARC","N","N",0.05,1
"122","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","ORTHSEC","N","N",1.075,1
"123","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","PAXIMYR","N","N",11,1
"124","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","PHLODIF",NA,NA,0,0
"125","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","PICEENE","N","N",26.25,1
"126","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","PINUCON",NA,NA,0,0
"127","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","PSEUMEN","N","N",5.5,1
"128","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","PYROASA",NA,NA,0,0
"129","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","RHODALB",NA,NA,0,0
"130","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","RIBEACE",NA,NA,0,0
"131","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","RIBELAC","N","N",1.75,1
"132","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","RUBUPAR","N","N",1.275,1
"133","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","RUBUPED",NA,NA,0,0
"134","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","SORBSCO","N","N",0.025,1
"135","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","SORBSIT",NA,NA,0,0
"136","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","SPIRLUC",NA,NA,0,0
"137","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","THALOCC","N","N",0.175,1
"138","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","THUJPLI","N","N",1.25,1
"139","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","TIARTRI","N","N",0.225,1
"140","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","TSUGHET",NA,NA,0,0
"141","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","VACCMEM","N","N",8,1
"142","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","VACCSCO",NA,NA,0,0
"143","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","VALESIT","N","N",0.475,1
"144","00NCe77","NCBG_ESSFplots",1494.552856,2025,"jpstamp","High","VERAVIR",NA,NA,0,0
"145","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","ABIEAMA",NA,NA,0,0
"146","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","ABIELAS","N","N",54.5,1
"147","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","AMELALN",NA,NA,0,0
"148","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","ARNILAT","N","N",2.6,1
"149","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","CHAMANG","N","N",0.5,1
"150","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","CHIMUMB",NA,NA,0,0
"151","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","CLINUNI",NA,NA,0,0
"152","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","CORNCAN",NA,NA,0,0
"153","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","GOODOBL","N","N",0.175,1
"154","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","HERAMAX","N","N",2.075,1
"155","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","LINNBOR",NA,NA,0,0
"156","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","LONIUTA","N","N",0.25,1
"157","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","LUPIARC","N","N",0.875,1
"158","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","ORTHSEC","N","N",0.75,1
"159","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","PAXIMYR","N","N",5.5,1
"160","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","PHLODIF",NA,NA,0,0
"161","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","PICEENE","N","N",1.75,1
"162","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","PINUCON",NA,NA,0,0
"163","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","PSEUMEN",NA,NA,0,0
"164","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","PYROASA",NA,NA,0,0
"165","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","RHODALB",NA,NA,0,0
"166","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","RIBEACE","N","N",2.2,1
"167","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","RIBELAC","N","N",0.75,1
"168","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","RUBUPAR",NA,NA,0,0
"169","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","RUBUPED",NA,NA,0,0
"170","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","SORBSCO",NA,NA,0,0
"171","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","SORBSIT",NA,NA,0,0
"172","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","SPIRLUC",NA,NA,0,0
"173","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","THALOCC","N","N",4.25,1
"174","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","THUJPLI",NA,NA,0,0
"175","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","TIARTRI",NA,NA,0,0
"176","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","TSUGHET",NA,NA,0,0
"177","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","VACCMEM","N","N",0.6,1
"178","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","VACCSCO","N","N",2.525,1
"179","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","VALESIT","N","N",18.25,1
"180","00NCe78","NCBG_ESSFplots",1845.629517,2025,"jpstamp","Med-High","VERAVIR","N","N",0.125,1
"181","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","ABIEAMA",NA,NA,0,0
"182","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","ABIELAS","N","N",28.5,1
"183","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","AMELALN",NA,NA,0,0
"184","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","ARNILAT","N","N",6.5,1
"185","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","CHAMANG","N","N",1.225,1
"186","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","CHIMUMB",NA,NA,0,0
"187","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","CLINUNI",NA,NA,0,0
"188","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","CORNCAN",NA,NA,0,0
"189","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","GOODOBL","N","N",0.175,1
"190","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","HERAMAX","N","N",0.075,1
"191","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","LINNBOR",NA,NA,0,0
"192","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","LONIUTA","N","N",0.5,1
"193","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","LUPIARC","N","N",0.875,1
"194","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","ORTHSEC","N","N",6.5,1
"195","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","PAXIMYR","N","N",0.275,1
"196","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","PHLODIF",NA,NA,0,0
"197","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","PICEENE","N","N",1.15,1
"198","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","PINUCON",NA,NA,0,0
"199","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","PSEUMEN",NA,NA,0,0
"200","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","PYROASA",NA,NA,0,0
"201","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","RHODALB",NA,NA,0,0
"202","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","RIBEACE","N","N",12.25,1
"203","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","RIBELAC","N","N",1.125,1
"204","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","RUBUPAR",NA,NA,0,0
"205","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","RUBUPED","N","N",0.75,1
"206","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","SORBSCO",NA,NA,0,0
"207","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","SORBSIT","N","N",0.425,1
"208","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","SPIRLUC",NA,NA,0,0
"209","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","THALOCC","N","N",3.5,1
"210","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","THUJPLI",NA,NA,0,0
"211","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","TIARTRI","N","N",6.25,1
"212","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","TSUGHET",NA,NA,0,0
"213","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","VACCMEM","N","N",19,1
"214","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","VACCSCO","N","N",1.5,1
"215","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","VALESIT","N","N",11.5,1
"216","00NCe79","NCBG_ESSFplots",1778.579102,2025,"jpstamp","High","VERAVIR","N","N",0.175,1
"217","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","ABIEAMA",NA,NA,0,0
"218","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","ABIELAS","N","N",18.25,1
"219","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","AMELALN",NA,NA,0,0
"220","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","ARNILAT","N","N",0.975,1
"221","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","CHAMANG","N","N",0.725,1
"222","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","CHIMUMB",NA,NA,0,0
"223","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","CLINUNI",NA,NA,0,0
"224","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","CORNCAN",NA,NA,0,0
"225","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","GOODOBL",NA,NA,0,0
"226","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","HERAMAX","N","N",0.8,1
"227","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","LINNBOR",NA,NA,0,0
"228","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","LONIUTA",NA,NA,0,0
"229","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","LUPIARC","N","N",0.15,1
"230","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","ORTHSEC",NA,NA,0,0
"231","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","PAXIMYR","N","N",0.1,1
"232","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","PHLODIF","N","N",0.625,1
"233","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","PICEENE","N","N",0.125,1
"234","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","PINUCON",NA,NA,0,0
"235","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","PSEUMEN",NA,NA,0,0
"236","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","PYROASA",NA,NA,0,0
"237","00NCe82","NCBG_ESSFplots",1818.514526,2025,"jpstamp","High/ Med-High","RHODALB","N","N",3.875,1
